code,discountType,id,order_id,value
1-1_4T,Value,7787,5f1c0a462b907612636e07f1,2720000
1-1REFER,Value,230,5f0e65a9eb938b3c04cdec9e,2618000
18+R5%,Percent,2,5cf77ec3a8f6c769d1172ec1,5
18+R5%,Percent,32,5eb6237768c5266a5747c0ea,5
18+R5%,Percent,59,5e5dbf0f6ccbb772ceecc2b9,5
18+R5%,Percent,64,5e8bfc2241d49510809e92cf,5
18+R5%,Percent,73,5e8aab0641d49510809e834b,5
18+R5%,Percent,131,5ea78562fdfe6f18dcef827a,5
18+R5%,Percent,165,5eba693084d10c14926261af,5
18+R5%,Percent,216,5eddaad2fd26f40fa91fca23,5
18+R5%,Percent,277,5f03e1a24a269435c6b7211e,5
18+RC2,Value,111,5e967c65318f5b23b059e32f,200000
18+RC3,Value,71,5e65aab603a86e02e25d61ae,300000
18+RC3,Value,72,5e65ab3403a86e02e25d61c0,300000
18+RC3,Value,78,5e8309428d4ec26f4499a544,300000
18+RC3,Value,86,5e816ef669add53c68e4bfd1,300000
18+RC3,Value,90,5e7f2091795d4359c8b7becf,300000
18+RC3,Value,94,5e8bfcc941d49510809e9342,300000
18+RC3,Value,182,5ec7e50fcaae410f37e0cc38,300000
18+RC3,Value,183,5ec7e68ccaae410f37e0cc50,300000
18+RC3,Value,186,5ecb983a38ab6c168ae20030,300000
18+RC3,Value,190,5ed0c08987c4ff410c56f3ad,300000
18+RC3,Value,196,5ed126b22eb98670cb2293c7,300000
18+RC3,Value,203,5edf10681c9cad7a7818f8d8,300000
18+RC3,Value,204,5edf10371c9cad7a7818f89b,300000
18+RC3,Value,205,5edf06e51c9cad7a7818f456,300000
18+RC3,Value,206,5edf058c1c9cad7a7818f36d,300000
18+RC3,Value,207,5edf16661c9cad7a7818fb36,300000
18+RC3,Value,208,5edf102e1c9cad7a7818f877,300000
18+RC3,Value,286,5f029b514a269435c6b6cd9f,300000
18+RC3,Value,292,5f029b104a269435c6b6cd70,300000
18+RCX,Value,15,5e61e9d79f713a31861d10a5,500000
18+RCX,Value,16,5e61e9fc9f713a31861d10b0,500000
18+RCX,Value,25,5e61e8f59f713a31861d1094,500000
18+RCX,Value,76,5e69c9d5bf490e2a9f08ce41,500000
18+RCX,Value,77,5e69c7dabf490e2a9f08ce29,500000
18+RCX,Value,87,5e7c8387fe4c1f464d9e6542,500000
18+RCX,Value,89,5e83035a8d4ec26f44999dba,500000
18+RCX,Value,184,5ee84ab9fa414c33be60deb6,500000
32BC++,Value,316,5f0ac8791473a8472845dc52,4080000
C++KTRUONG,Value,7788,5f1c0c892b907612636e086e,1600000
C4TONL,Value,75,5e722b9823ac333a83a347df,700000
COVID_C3,Value,70,5e6605ce16dee95b970c3a40,1000000
COVID_C3,Value,126,5ea0f8f0d8b38561bf4dc98d,1000000
COVID_C3,Value,148,5eacbcbc186542400ec33751,1000000
COVID_C3,Value,150,5eae2fd3186542400ec337fd,1000000
COVID_XCAR,Value,30,5ea6a2f3fdfe6f18dcef7762,1700000
COVID_XCAR,Value,74,5e6863a8bf490e2a9f08a684,1700000
COVID_XCAR,Value,102,5ea642bafdfe6f18dcef6c4c,1700000
COVID_XCAR,Value,123,5ea456fafdfe6f18dcef62b1,1700000
COVID_XCAR,Value,124,5ea24eab8937da578b995b0d,1700000
COVID_XCAR,Value,128,5ea10e0bd8b38561bf4dce63,1700000
COVID_XCAR,Value,130,5ea25ec28937da578b995d22,1700000
COVID_XCAR,Value,134,5ea7da42fdfe6f18dcef8e89,1700000
COVID_XCAR,Value,135,5ea826626cd2150f65a8ad00,1700000
COVID_XCAR,Value,136,5eb1324f2a65210de2c3b6b3,1700000
COVID_XCAR,Value,138,5ea7e8466cd2150f65a8a391,1700000
COVID_XCAR,Value,139,5ea7e8e16cd2150f65a8a3ae,1700000
COVID_XCAR,Value,140,5ea821756cd2150f65a8acb0,1700000
COVID_XCAR,Value,141,5ea7fd176cd2150f65a8a858,1700000
COVID_XCAR,Value,142,5ea824286cd2150f65a8ace3,1700000
COVID_XCAR,Value,143,5ea8e4016cd2150f65a8adc6,1700000
COVID_XCAR,Value,144,5ea934cf6cd2150f65a8b312,1700000
COVID_XCAR,Value,145,5ea93c336cd2150f65a8b59c,1700000
COVID_XCAR,Value,147,5eaaddc7186542400ec33671,1700000
COVID_XCAR,Value,151,5eae30d7186542400ec3381c,1700000
HB_10%,Percent,3,5d1189190463cb186f6d6c08,10
HB_10%,Percent,9,5dcfd3e8242dfe0dd31d3919,10
HB_10%,Percent,11,5e4d08cc3a83142b4859001c,10
HB_10%,Percent,18,5ee5fbe8fa414c33be60b189,10
HB_10%,Percent,22,5f0abb5b1473a8472845d98b,10
HB_10%,Percent,37,5ee19ad6097bc5498c64118e,10
HB_10%,Percent,47,5ef9c22d246ed24227545d2d,10
HB_10%,Percent,54,5e56548524e4877d91f534f3,10
HB_10%,Percent,61,5e5e26026ccbb772ceecd1de,10
HB_10%,Percent,83,5e807ada4b5d70526601c5a4,10
HB_10%,Percent,88,5eb38b9e68c5266a57478581,10
HB_10%,Percent,108,5ef16cb877f6ae136c84242f,10
HB_10%,Percent,127,5e9fb35ec7b3e62e0f54ee90,10
HB_10%,Percent,155,5ed35e5a2eb98670cb22b598,10
HB_10%,Percent,156,5eb7a841dfd1a27b3dd8f1cc,10
HB_10%,Percent,161,5ecf2012464c9b6426da64d7,10
HB_10%,Percent,162,5ed075a21c2f081a1dd08819,10
HB_10%,Percent,168,5ebcb265313bda013a82672c,10
HB_10%,Percent,169,5eccc9e914f06c142e98ac9b,10
HB_10%,Percent,187,5ed4d77bfbca1c102552db37,10
HB_10%,Percent,194,5ed35f9a2eb98670cb22b61d,10
HB_10%,Percent,197,5edc6f17fd26f40fa91facee,10
HB_10%,Percent,201,5edb7a62fd26f40fa91f9c4d,10
HB_10%,Percent,246,5ef5a12023d8a436ec2c1509,10
HB_10%,Percent,247,5ef5a23923d8a436ec2c15e3,10
HB_10%,Percent,248,5ef5a59823d8a436ec2c17bf,10
HB_10%,Percent,249,5ef5a67223d8a436ec2c186e,10
HB_10%,Percent,312,5f0836c8d719e9755afa3314,10
HB_10%,Percent,324,5f111121607dc72b976533b9,10
HB_15%,Percent,13,5ee34f97fa414c33be60552e,15
HB_15%,Percent,14,5efc3815246ed24227553143,15
HB_15%,Percent,20,5eaf959b186542400ec34101,15
HB_15%,Percent,21,5eaf95ec186542400ec34130,15
HB_15%,Percent,23,5eaf9328186542400ec33fd8,15
HB_15%,Percent,44,5e54e97224e4877d91f51f4c,15
HB_15%,Percent,48,5e4cfea13a83142b4858fea5,15
HB_15%,Percent,49,5e4d090f3a83142b48590077,15
HB_15%,Percent,56,5e58ead15563452a1050e452,15
HB_15%,Percent,185,5ecb817738ab6c168ae1fe4d,15
HB_15%,Percent,202,5ed8b82afd26f40fa91f255f,15
HB_15%,Percent,231,5ee9e7f2fa414c33be6170d3,15
HB_15%,Percent,232,5ee9e831fa414c33be617129,15
HB_15%,Percent,262,5ef9c85c246ed24227545db6,15
HB_15%,Percent,263,5ef9df05246ed24227546039,15
HB_15%,Percent,288,5f016e574a269435c6b6a3a7,15
HB_15%,Percent,663,5f18039597980f0f6310dd36,15
HB_20%,Percent,6,5ef86f7d23d8a436ec2c7366,20
HB_20%,Percent,50,5e535c77ae512e44d4cf7e60,20
HB_20%,Percent,51,5e539501ae512e44d4cf8204,20
HB_20%,Percent,52,5e53abceae512e44d4cf8370,20
HB_20%,Percent,57,5e5c78ee6ccbb772ceecbc9b,20
HB_20%,Percent,63,5ef40d7323d8a436ec2b93f5,20
HB_20%,Percent,176,5ec33c2726d29f0634f49cb6,20
HB_20%,Percent,195,5ef0278458c3db512fd92263,20
HB_20%,Percent,214,5efb0156246ed24227549e29,20
HB_20%,Percent,233,5ef16e965773c357f09869d3,20
HB_20%,Percent,251,5efab79e246ed24227547c32,20
HB_20%,Percent,264,5efbf519246ed2422754bb23,20
HB_20%,Percent,271,5f0168f54a269435c6b6a259,20
HB_20%,Percent,274,5f093b1d7fe52674678e5198,20
HB_20%,Percent,307,5f059a0209a63c6ac0615230,20
HB_20%,Percent,309,5f06ccb7aa71d33e9db43a2f,20
HB_20%,Percent,313,5f0fca71154eb745246436e5,20
HB_20%,Percent,319,5f0eb3f27345e36bfe009d5a,20
HB_20%,Percent,656,5f196bfff1c454034dbb5b10,20
HB_20%,Percent,657,5f18571a97980f0f6310fbcc,20
HDT10%,Value,35,5e511e317587797536d55bf2,1745625
ON-20%,Percent,27,5df8af733c4caa2be9e153c6,20
ON-20%,Percent,60,5e759a787954dd7238122eba,20
ON-20%,Percent,79,5e7f2c07795d4359c8b7c171,20
ON-20%,Percent,84,5e798a61f98d245a499dc1fb,20
ONL10%,Percent,82,5e947af872239519e24eee95,10
ONL10%,Percent,106,5e947d4372239519e24eef2c,10
ONL15%,Percent,43,5ea41646fdfe6f18dcef60a8,15
ONL3.2,Value,114,5e97fcc28d5abd54fdf940b0,300000
ONL3.2,Value,122,5e9e6313c7b3e62e0f54c857,300000
ONL3.2,Value,129,5ea10607d8b38561bf4dcaf1,300000
ONL38%,Value,1,5cc13d21e1a8f37d9d962280,2700000
ONL38%,Value,12,5ea77f7efdfe6f18dcef8268,2700000
ONL38%,Value,28,5ecf540f1c2f081a1dd06d61,2700000
ONL38%,Value,29,5ebd1da3313bda013a829414,2700000
ONL38%,Value,39,5ed0c87987c4ff410c56f8f1,2700000
ONL38%,Value,41,5ea418e9fdfe6f18dcef60d8,2700000
ONL38%,Value,45,5e958bd497f41f2aed53aa53,2700000
ONL38%,Value,91,5ea404d98937da578b996e40,2700000
ONL38%,Value,95,5e8b017541d49510809e8944,2700000
ONL38%,Value,97,5e96c7e38d5abd54fdf9235f,2700000
ONL38%,Value,98,5e8e88813d8d70620f6ba2e2,2700000
ONL38%,Value,99,5e8eb0bf3d8d70620f6ba7bf,2700000
ONL38%,Value,100,5e95665297f41f2aed539419,2700000
ONL38%,Value,101,5ea69fdcfdfe6f18dcef765f,2700000
ONL38%,Value,103,5e9ebe75c7b3e62e0f54db57,2700000
ONL38%,Value,104,5ea10942d8b38561bf4dcbfd,2700000
ONL38%,Value,107,5e99816fc6bd683ba8aaafc8,2700000
ONL38%,Value,109,5ea4110a8937da578b996f81,2700000
ONL38%,Value,110,5e9afb1dc6bd683ba8aac976,2700000
ONL38%,Value,113,5e9d6c10c6bd683ba8aade6c,2700000
