campaign,channel,content_id,createdAt,id,lastModifiedAt,medium,source,statusName,user_id
"","",,1559347200,5e29bf9edf1979b3d87ef745,,"","",L0A,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1575331200,5e29bfacdf1979b3d87efa57,1582685769,"","",L2D,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1572652800,5e29bfb5df1979b3d87efc25,,"","",L1C,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1559347200,5e29bfb7df1979b3d87efc9f,,"","",L1A,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1569974400,5e29bfc8df1979b3d87f0097,,"","",L0A,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1573516800,5e29bfd0df1979b3d87f0254,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1569974400,5e29bfd3df1979b3d87f02ed,,"","",L0A,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1574380800,5e29bfd3df1979b3d87f02f8,,"","",L1A,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1572912000,5e29bfd3df1979b3d87f02fe,,"","",L2F,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1573516800,5e29bfd4df1979b3d87f0327,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1569974400,5e29bfd5df1979b3d87f034e,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1556668800,5e29bfd5df1979b3d87f035f,,"","",L1C,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1554076800,5e29bfd5df1979b3d87f036c,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1572652800,5e29bfd5df1979b3d87f0379,,"","",L1C,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1572652800,5e29bfd6df1979b3d87f03a7,,"","",L1C,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1573516800,5e29bfd7df1979b3d87f03d2,,"","",L1C,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1554076800,5e29bfd7df1979b3d87f03d8,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1572998400,5e29bfd7df1979b3d87f03de,,"","",L3D,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1559347200,5e29bfd8df1979b3d87f0404,,"","",L1C,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1573516800,5e29bfd8df1979b3d87f040a,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
"","",,1577318400,5e29bfd9df1979b3d87f0446,,"","",L2X,zjXCdnXCyTdCGg9H3gPJje8pBCn1
